ID,Location,Date,Time,Replicate,Collecter,Type,Comment,"This cell checks to make sure the ID and the Sample Name match - If its blank, its good!",Analyzed on Machine,Sample Name,Processed Delta 2H,Processed Delta 2H StDev,Processed Delta 18O,Processed Delta 18O StDev,Processed Delta 17O,Processed Delta 17O StDev,Comments,,
30,Campus Pond Down,6/24/2021,-,3,CO,Surface,,,7/25/2022,30,-55.342642,2.30E-01,-8.077243,1.88E-02,-4.26E+00,3.85E-02,,,
34,Campus Pond Down,6/29/2021,-,3,CO,Surface,,,8/8/2022,34,-53.785727,7.54E-01,-8.214734,1.14E-01,-4.24E+00,8.03E-02,,,
38,Campus Pond Down,6/30/2021,-,3,CO,Surface,,,8/8/2022,38,-49.704096,1.14E-01,-7.355277,3.06E-02,-3.85E+00,3.78E-02,,,
42,Campus Pond Down,7/7/2021,-,3,CO,Surface,,,8/10/2022,42,-57.033557,2.27E-02,-8.364619,4.23E-02,-4.47E+00,4.09E-02,,,
46,Campus Pond Down,7/8/2021,-,3,CO,Surface,,,10/25/2022,46,-52.566627,0.00E+00,-8.030097,0.00E+00,-4.22E+00,0.00E+00,,,
50,Campus Pond Down,7/13/2021,-,3,CO,Surface,,,10/25/2022,50,-45.189934,2.86E-01,-7.654078,1.41E-02,-3.97E+00,2.42E-02,,,
54,Campus Pond Down,7/14/2021,-,3,CO,Surface,,,11/1/2022,54,-47.861891,1.28E+00,-7.61541,1.51E-01,-3.99E+00,9.54E-02,"Linear Spline Fit , 4 2Hck, 1 pressure rejection",,
145,Campus Pond Down,7/22/2021,-,1,CDG,Surface,,,9/19/2023,145,-34.907941,1.60E-01,-8.132811,4.94E-02,-4.30E+00,4.79E-02,Block Standardization,,
59,Campus Pond Down,7/22/2021,-,3,CO,Surface,,,11/1/2022,59,-49.486475,1.24E+00,-8.023178,1.03E-01,-4.32E+00,6.85E-02,"Linear Spline Fit , 4 2Hck, 1 pressure rejection",,
70,Campus Pond Down,7/29/2021,-,3,CO,Surface,,,11/10/2022,70,-54.002102,1.78E-01,-8.451684,5.25E-02,-4.41E+00,3.54E-02,Double check data file or rerurn,,
179,Campus Pond Down,11/20/2021,-,1,AKS,Stream,,,9/25/2023,179,-53.61141,8.68E-01,-8.337674,7.43E-02,-4.48E+00,3.22E-02,Block Standardization,,
183,Campus Pond Down,12/4/2021,5:50:00 PM,1,TN,Stream,,,9/25/2023,183,-52.220335,4.41E-01,-8.663909,1.12E-01,-4.52E+00,6.56E-02,Block Standardization,,
290,Campus Pond Down,3/5/2022,5:45:00 PM,1,"AKS, TN",Stream,,,11/10/2023,290,-38.980941,3.05E-01,-9.111873,1.49E-02,-4.85E+00,2.76E-02,Block Standardization,,
303,Campus Pond Down,4/2/2022,6:12:00 PM,1,"AKS, TN",Stream,,,11/10/2023,303,-35.205251,7.21E-01,-7.559826,3.53E-02,-3.94E+00,6.51E-02,"Block Standardization, 2 fvol",,
316,Campus Pond Down,5/27/2022,4:35:00 PM,1,"TN, CDG",Stream,,,11/14/2023,316,-43.297994,4.78E-01,-7.316856,3.86E-02,-3.86E+00,6.81E-02,,,
356,Campus Pond Down,9/12/2022,1:57:00 PM,1,"TN, JB",Stream,,,11/27/2023,356,-18.565794,3.41E-01,-8.033253,6.48E-02,-4.24E+00,3.73E-02,1 fvol,,
395,Campus Pond Down,10/17/2022,3:38:00 PM,1,"TN, JB",Stream,,,11/28/2023,395,-56.195399,5.89E-01,-9.221214,3.41E-02,-4.99E+00,4.82E-02,,,
420,Campus Pond Down,12/12/2022,4:28:00 PM,1,"TN, ER, JB",Stream,,,11/29/2023,420,-41.079389,3.49E-01,-7.497365,0.00E+00,-4.26E+00,0.00E+00,2 fvol,,
439,Campus Pond Down,1/30/2023,2:39:00 PM,1,"TN, JB",Stream,,,2/22/2024,439,-52.869784,5.79E-01,-8.477019,1.05E-01,-4.44E+00,6.16E-02,4 fvol,,
458,Campus Pond Down,2/18/2023,5:15:00 PM,1,"TN, ER",Stream,,,12/1/2023,458,-47.125241,4.60E-01,-7.803197,8.03E-02,-4.39E+00,5.28E-02,,,
474,Campus Pond Down,3/11/2023,3:00:00 PM,1,"TN, JB, CL",Stream,,,12/1/2023,474,-49.596199,3.28E-01,-8.361208,3.76E-02,-4.29E+00,2.67E-02,,,
496,Campus Pond Down,4/22/2023,4:05:00 PM,1,"TN, JB, CDG",Stream,,,12/4/2023,496,-45.528459,4.08E-01,-7.787244,7.20E-02,-4.009669,9.06E-02,,,
519,Campus Pond Down,5/21/2023,3:22:00 PM,1,"TN, NO",Stream,,,2/1/2024,519,-33.268521,5.37E-01,-5.785337,5.49E-02,-2.973985,6.32E-02,1 fvol,,
533,Campus Pond Down,6/14/2023,11:00:00 AM,1,CDG,Stream,,,2/6/2024,533,-53.920469,2.33E-01,-8.117007,4.28E-02,-4.216246,4.54E-02,,,
534,Campus Pond Down,6/14/2023,-,1,"TN, ACM, CDG",Stream,Extra,,2/6/2024,534,-47.011874,5.14E-01,-7.802505,7.59E-02,-4.066378,6.40E-02,,,
566,Campus Pond Down,7/28/2023,6:50:00 PM,1,"TN, S",Stream,,,2/7/2024,566,-43.102451,1.69E-01,-7.256992,2.78E-02,-3.661228,2.59E-02,,,
579,Campus Pond Down,8/29/2023,5:01:00 PM,1,"TN, S",Stream,,,2/8/2024,579,-40.689603,2.91E-01,-6.826418,4.28E-02,-3.475966,2.77E-02,,,
592,Campus Pond Down,9/22/2023,4:32:00 PM,1,"TN, TH",Stream,,,2/8/2024,592,-43.846028,5.11E-01,-7.327024,4.77E-02,-3.672014,6.71E-02,,,
654,Campus Pond Down,10/21/2023,5:20:00 PM,1,"TN, BD",Stream,,,2/15/2024,654,-68.346351,2.90E-01,-10.428519,6.80E-02,-7.155188,7.60E-02,,,
667,Campus Pond Down,11/19/2023,3:50:00 PM,1,"TN, RV",Stream,,,2/20/2024,667,-46.711033,4.82E-01,-7.056323,7.07E-02,-5.246595,3.95E-02,,,
680,Campus Pond Down,12/6/2023,2:56:00 PM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,680,-61.562773,6.64E-01,-8.945271,1.07E-01,-5.789164,5.39E-02,,,
693,Campus Pond Down,1/26/2024,2:05:00 PM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,693,-62.050008,0.00E+00,-9.212093,0.00E+00,-4.521213,0.00E+00,3 fvol,,
781,Campus Pond Down,2/24/2024,2:18:00 PM,1,"TN, TH, BD",Stream,,,3/5/2024,781,-75.500441,5.58E-01,-9.165718,9.42E-02,-5.144529,3.22E-02,,,
829,Campus Pond Down,3/16/2024,8:50:00 AM,1,"TN, RV, ZW, RC",Stream,,,4/30/2024,829,-57.983771,4.02E-01,-8.449143,8.67E-02,-4.450689,4.33E-02,,,
842,Campus Pond Down,4/21/2024,8:59:00 AM,1,"TN, BD, RV, ZW",Stream,,,5/2/2024,842,-55.302199,4.77E-01,-7.760581,2.39E-02,-4.130057,2.15E-02,,,
862,Campus Pond Down,5/4/2024,9:33:00 AM,1,"BD, TN, RV, TH",Stream,,,5/7/2024,862,-56.815008,6.33E-01,-7.883006,7.34E-02,-4.148436,5.78E-02,,,
943,Campus Pond Down,6/4/2024,9:37:00 AM,1,"RV, RC, TN, ZW",Stream,collected immediately,,7/1/2024,943,-60.961895,4.21E-01,-8.925719,5.00E-02,-4.787524,3.26E-02,1 fvol ,,
1107,Campus Pond Down,7/2/2024,9:26:00 AM,1,"RV, RC, TN, ZW",Stream,collected immediately,,10/14/2024,1107,-36.27135,1.19E-01,-5.84949,5.67E-02,-3.096503,5.00E-02,1 fvol,,
1286,Campus Pond Down,8/7/2024,9:56:00 AM,1,"TN, RV, RC, ZW",Stream,,,11/8/2024,1286,-46.543399,2.87E-01,-7.223908,2.52E-02,-2.982494,1.18E-01,,,
1472,Campus Pond Down,11/16/2024,,1,"TN, RV, RC, EW, XG, KH",13_sites,,,12/3/2024,1472,-47.736607,2.51E-01,-6.043006,6.29E-02,-2.96884,9.96E-02,1 avol,,
13,Campus Pond Down ,6/15/2021,-,3,CO,Surface,,,7/19/2022,13,-45.945958,1.13E-01,-7.522774,2.96E-02,-3.89E+00,5.85E-02,,,
115,Campus Pond Up,5/27/2021,-,1,-,Surface,,,12/13/2022,115,-50.265215,1.42E+00,-8.082719,1.78E-01,-4.38E+00,5.63E-02,"Block Standardization, 2Hck, 2 pres",,
5,Campus Pond Up,6/8/2021,-,2,CO,Surface,,,7/7/2022,5,-21.929366,1.01E-01,-2.82195,3.08E-02,-1.48E+00,1.39E-02,,,
9,Campus Pond Up,6/10/2021,-,2,CO,Surface,,,7/19/2022,9,-45.701345,1.76E-01,-6.962477,2.59E-02,-3.67E+00,5.43E-03,,,
12,Campus Pond Up,6/15/2021,-,2,CO,Surface,,,7/19/2022,12,-51.155694,7.65E-01,-8.210866,7.27E-02,-4.23E+00,5.33E-02,,,
16,Campus Pond Up,6/16/2021,-,2,CO,Surface,,,7/20/2022,16,-52.648788,4.87E-01,-8.202828,3.23E-02,-4.41E+00,3.82E-02,,,
21,Campus Pond Up,6/22/2021,-,2,CO,Surface,,,7/20/2022,21,-54.468353,1.55E-01,-8.236579,2.86E-02,-4.29E+00,1.94E-02,2-2Hchk warnings,,
25,Campus Pond Up,6/23/2021,-,2,CO,Surface,,,7/25/2022,25,-58.140125,1.51E-01,-8.679235,1.55E-02,-4.64E+00,2.31E-02,,,
29,Campus Pond Up,6/24/2021,-,2,CO,Surface,,,7/25/2022,29,-57.21406,1.23E-01,-8.42178,2.91E-02,-4.30E+00,3.06E-02,,,
33,Campus Pond Up,6/29/2021,-,2,CO,Surface,,,8/8/2022,33,-50.646487,1.09E-01,-7.601719,2.82E-02,-3.94E+00,7.63E-02,,,
37,Campus Pond Up,6/30/2021,-,2,CO,Surface,,,8/8/2022,37,-52.592515,4.80E-01,-7.964455,3.30E-02,-4.21E+00,1.75E-02,,,
41,Campus Pond Up,7/7/2021,-,2,CO,Surface,,,8/10/2022,41,-53.870621,3.72E-01,-8.058343,2.12E-02,-4.34E+00,4.65E-02,,,
45,Campus Pond Up,7/8/2021,-,2,CO,Surface,,,8/10/2022,45,-53.186359,3.01E-01,-7.766539,5.57E-02,-4.11E+00,3.03E-02,,,
49,Campus Pond Up,7/13/2021,-,2,CO,Surface,,,10/25/2022,49,-52.132512,1.08E-01,-8.214721,1.55E-02,-4.24E+00,1.56E-02,,,
53,Campus Pond Up,7/14/2021,-,2,CO,Surface,,,11/1/2022,53,-46.426088,1.11E+00,-7.546329,1.08E-01,-3.84E+00,6.95E-02,"Linear Spline Fit , 4 spectral contamination warnings, 1 pressure rejection",,
146,Campus Pond Up,7/22/2021,-,1,CDG,Surface,,,9/19/2023,146,-29.136662,3.17E-01,-8.159946,2.67E-02,-4.33E+00,3.55E-02,Block Standardization,,
57,Campus Pond Up,7/22/2021,-,2,CO,Surface,,,11/1/2022,57,-52.520104,1.50E+00,-8.13503,8.65E-02,-4.35E+00,5.82E-02,"Linear Spline Fit , 4 2Hck, 1 pressure rejection",,
175,Campus Pond Up,11/20/2021,-,1,AKS,Stream,,,9/25/2023,175,-45.583754,1.36E+00,-8.207214,1.46E-01,-4.29E+00,7.42E-02,Block Standardization,,
184,Campus Pond Up,12/4/2021,5:15:00 PM,1,TN,Stream,,,9/25/2023,184,-48.908341,9.38E-01,-8.764968,1.97E-01,-4.61E+00,2.79E-02,Block Standardization,,
277,Campus Pond Up,2/12/2022,5:16:00 PM,1,"AKS, TN",Stream,,,11/3/2023,277,-24.79011,2.73E-01,-8.708643,4.37E-02,-4.56E+00,1.94E-02,"Block Standardization, 4 intf",,
315,Campus Pond Up,5/27/2022,4:55:00 PM,1,"TN, CDG",Stream,,,11/15/2023,315,-13.398875,4.29E-01,-7.495237,1.07E-01,-3.77E+00,5.24E-02,,,
341,Campus Pond Up,7/21/2022,3:00:00 PM,1,"TN, JB",Stream,,,5/23/2024,341,-33.119849,5.85E-01,-4.609557,1.12E-01,-2.41E+00,4.90E-02,Rerun based on house standards from 5/7/24,,
355,Campus Pond Up,9/12/2022,1:52:00 PM,1,"TN, JB",Stream,,,11/20/2023,355,-25.913262,1.94E-01,-7.708208,8.64E-03,-3.96E+00,3.29E-02,,,
394,Campus Pond Up,10/17/2022,3:29:00 PM,1,"TN, JB",Stream,,,11/28/2023,394,-20.731438,5.75E-01,-7.732969,1.68E-01,-4.25E+00,7.93E-02,1 fvol,,
419,Campus Pond Up,12/12/2022,4:20:00 PM,1,"TN, ER, JB",Stream,,,11/29/2023,419,-44.625559,3.08E-01,-7.545235,3.74E-02,-4.26E+00,7.89E-03,1 fvol,,
438,Campus Pond Up,1/30/2023,2:25:00 PM,1,"TN, JB",Stream,,,11/30/2023,438,-52.524584,4.18E-01,-8.254739,7.95E-02,-4.67E+00,2.70E-02,,,
457,Campus Pond Up,2/18/2023,4:55:00 PM,1,"TN, ER",Stream,,,12/1/2023,457,-41.093199,4.11E-01,-8.078579,4.36E-02,-4.51E+00,5.46E-02,,,
473,Campus Pond Up,3/11/2023,2:48:00 PM,1,"TN, JB, CL",Stream,,,12/1/2023,473,-51.710387,9.95E-01,-8.777904,1.25E-01,-4.51E+00,4.28E-02,4 2Hck,,
495,Campus Pond Up,4/22/2023,3:50:00 PM,1,"TN, JB, CDG",Stream,,,12/4/2023,495,-48.699965,6.03E-01,-8.003906,7.76E-02,-4.259883,3.54E-02,2 fvol,,
518,Campus Pond Up,5/21/2023,3:07:00 PM,1,"TN, NO",Stream,,,2/1/2024,518,-35.519175,2.71E-01,-5.979058,5.99E-02,-3.05596,4.44E-02,1 fvol,,
532,Campus Pond Up,6/14/2023,11:00:00 AM,1,CDG,Stream,,,2/6/2024,532,-51.691519,3.55E-01,-8.015074,6.25E-02,-4.275623,3.31E-02,1 fvol,,
565,Campus Pond Up,7/28/2023,6:35:00 PM,1,"TN, S",Stream,,,2/7/2024,565,-46.080918,1.39E-01,-7.413209,2.74E-02,-3.764809,1.94E-02,,,
578,Campus Pond Up,8/29/2023,6:50:00 PM,1,"TN, S",Stream,,,2/8/2024,578,-44.315114,7.00E-01,-7.161041,2.58E-01,-3.637176,1.05E-01,4 18ck,,
591,Campus Pond Up,9/22/2023,4:24:00 PM,1,"TN, TH",Stream,,,2/8/2024,591,-45.358997,4.94E-01,-7.514254,7.07E-02,-3.687042,5.05E-02,,,
666,Campus Pond Up,11/19/2023,3:40:00 PM,1,"TN, RV",Stream,,,2/20/2024,666,-47.660681,6.72E-01,-7.127393,1.08E-01,-5.318937,3.20E-02,svol,,
679,Campus Pond Up,12/6/2023,2:43:00 PM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,679,-46.167143,3.75E-01,-7.682232,4.67E-02,-4.740196,4.08E-02,,,
692,Campus Pond Up,1/26/2024,2:05:00 PM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,692,-74.899394,1.04E-01,-10.366658,5.29E-02,-5.612218,5.95E-02,2 fvol,,
780,Campus Pond Up,2/24/2024,2:10:00 PM,1,"TN, TH, BD",Stream,,,3/5/2024,780,-73.907977,2.14E-01,-8.949784,8.06E-02,-5.028493,2.63E-02,,,
828,Campus Pond Up,3/16/2024,8:45:00 AM,1,"TN, RV, ZW, RC",Stream,,,4/30/2024,828,-59.677356,5.86E-01,-8.549669,6.00E-02,-4.549814,4.31E-02,,,
841,Campus Pond Up,4/21/2024,8:50:00 AM,1,"TN, BD, RV, ZW",Stream,,,5/2/2024,841,-58.265461,3.68E-01,-8.400583,3.46E-02,-4.495101,5.10E-02,,,
861,Campus Pond Up,5/4/2024,9:30:00 AM,1,"BD, TN, RV, TH",Stream,,,5/7/2024,861,-59.561419,6.50E-01,-8.38979,1.43E-01,-4.368944,9.24E-02,,,
942,Campus Pond Up,6/4/2024,9:28:00 AM,1,"RV, RC, TN, ZW",Stream,collected immediately,,7/1/2024,942,-58.603303,1.72E-01,-8.744188,5.29E-02,-4.659113,3.42E-02,2 fvol,,
1106,Campus Pond Up,7/2/2024,9:17:00 AM,1,"RV, RC, TN, ZW",Stream,collected immediately,,10/14/2024,1106,-40.722218,1.77E-01,-6.580971,7.09E-02,-3.412013,1.94E-02,,,
1285,Campus Pond Up,8/7/2024,9:47:00 AM,1,"TN, RV, RC, ZW",Stream,,,11/8/2024,1285,-62.649382,3.38E-01,-9.280712,6.58E-02,-4.485929,4.87E-02,,,
1471,Campus Pond Up,11/16/2024,,1,"TN, RV, RC, EW, XG, KH",13_sites,,,12/3/2024,1471,-50.003862,5.30E-01,-6.626661,9.45E-02,-3.369078,9.61E-02,,,
1444,CBC Down,11/16/2024,11:44:00 AM,1,"RV, RC",Stream,,,12/3/2024,1444,-53.375897,7.52E-01,-7.345424,1.05E-01,-3.738251,7.30E-02,,,
1307,Cushman brook,8/23/2024,4:12:00 PM,1,"RV, RC",Stream,"5: Cushman Brook, just downstream of bridge",,8/26/2024,1307,-50.662412,5.31E-01,-7.98279,7.47E-02,-4.399556,4.47E-02,,,
1312,Cushman brook (fishing spot),8/23/2024,5:22:00 PM,1,"RV, RC",Stream,10: Raul's secret spot to fish in Cushman Brook,,8/26/2024,1312,-49.918358,3.24E-01,-7.935796,7.00E-02,-4.334753,2.63E-02,,,
1443,Cushman Brook Conservation,11/16/2024,11:41:00 AM,1,"RV, RC",Stream,,,12/3/2024,1443,-53.476212,4.47E-01,-7.358885,7.40E-02,-3.680218,4.89E-02,,,
1521,Deep Well Sample,10/4/2024,,OW-27D,Alexyss,Ground Water,,,11/22/2024,1521,-66.382852,4.20E-01,-8.717088,3.79E-02,-4.472797,4.76E-02,,,
1522,Deep Well Sample,10/4/2024,,OW-27D,Alexyss,Ground Water,,,11/22/2024,1522,-66.39757,2.86E-01,-8.704684,1.66E-02,-4.505864,2.60E-02,,,
122,Doolittle,5/27/2021,1:00:00 PM,1,-,Surface,,,9/15/2023,122,-31.734368,2.41E-01,-8.208019,3.49E-02,-4.38E+00,4.86E-02,Block Standardization,,
132,Doolittle,6/16/2021,10:15:00 AM,1,,Surface,,,9/18/2023,132,-51.267303,3.43E-01,-9.022824,3.19E-02,-4.82E+00,4.03E-02,Block Standardization,,
136,Doolittle,7/1/2021,-,1,CDG,Stream,,,9/18/2023,136,-38.897108,1.20E+00,-7.796678,1.38E-01,-4.11E+00,8.62E-02,Block Standardization,,
148,Doolittle,7/22/2021,-,1,CDG,Surface,,,9/19/2023,148,-61.268766,4.62E-01,-7.58237,4.26E-02,-4.02E+00,2.33E-02,Block Standardization,,
161,Doolittle,8/24/2021,7:35:00 AM,1,-,-,,,9/21/2023,161,-49.579393,3.41E-01,-7.690992,2.42E-02,-4.04E+00,4.09E-02,Block Standardization,,
257,Doolittle,9/22/2021,4:55:00 PM,1,JJ,Stream,,,10/3/2023,257,-19.0261,5.19E-01,-7.68532,9.44E-03,-4.02E+00,4.44E-02,Block Standardization,,
633,Doolittle,10/21/2021,9:00:00 AM,1,-,Stream,,,2/15/2024,633,-49.493836,7.52E-01,-7.728825,1.23E-01,-5.36561,3.16E-02,,,
172,Doolittle,11/20/2021,-,1,AKS,Stream,,,9/25/2023,172,-32.058736,3.79E-01,-8.337674,5.06E-02,-4.32E+00,2.18E-02,Block Standardization,,
189,Doolittle,12/4/2021,10:10:00 AM,1,TN,Stream,,,9/28/2023,189,-24.821674,4.33E-01,-7.610652,5.01E-02,-4.06E+00,5.11E-02,Block Standardization,,
267,Doolittle,2/12/2022,9:03:00 AM,1,"AKS, TN",Stream,,,11/3/2023,267,-32.394169,5.17E-01,-8.194429,3.87E-02,-4.37E+00,3.45E-02,Block Standardization,,
279,Doolittle,3/5/2022,9:09:00 AM,1,"AKS, TN",Stream,,,11/3/2023,279,-33.894377,4.58E-01,-8.371212,3.25E-02,-4.41E+00,6.08E-03,"Block Standardization, 3 intf, 1 fvol",,
305,Doolittle,5/27/2022,10:26:00 AM,1,"TN, CDG",Stream,,,11/15/2023,305,-11.514919,7.43E-02,-8.195633,2.49E-03,-4.45E+00,9.73E-03,,,
318,Doolittle,6/29/2022,10:27:00 AM,1,"TN, JB",Stream,,,3/13/2024,318,-127.017776,3.21E-01,-7.084816,3.87E-02,-4.04E+00,3.62E-02,,,
336,Doolittle,7/21/2022,8:29:00 AM,1,"TN, JB",Stream,,,11/17/2023,336,-50.341941,1.26E-01,-6.030757,6.73E-02,NaN,3.52E-02,,,
594,Doolittle,9/5/2022,-,1,"TN, JB",Stream,,,2/8/2024,594,-23.224387,4.56E-01,-7.880746,7.82E-02,-3.887872,2.44E-02,,,
345,Doolittle,9/12/2022,8:20:00 AM,1,"TN, JB",Stream,,,11/17/2023,345,-15.939415,2.23E-01,-7.127183,5.05E-02,NaN,6.34E-02,1 fvol,,
384,Doolittle,10/17/2022,9:24:00 AM,1,"TN, JB",Stream,,,11/28/2023,384,-31.165362,1.84E-01,-7.890976,1.93E-02,-4.44E+00,3.74E-02,,,
397,Doolittle,11/11/2022,9:34:00 AM,1,"TN, ER, JB",Stream,,,11/29/2023,397,-42.71086,3.93E-01,-8.521879,7.69E-02,-4.75E+00,3.76E-02,,,
409,Doolittle,12/12/2022,10:27:00 AM,1,"TN, JB",Stream,,,11/29/2023,409,-48.949448,3.80E-01,-7.656363,4.17E-02,-4.35E+00,4.30E-02,,,
428,Doolittle,1/30/2023,9:04:00 AM,1,"TN, JB",Stream,,,11/29/2023,428,-45.83973,0.00E+00,-8.256454,0.00E+00,-4.67E+00,0.00E+00,3 fvol,,
447,Doolittle,2/18/2023,9:57:00 AM,1,"TN, ER",Stream,,,11/30/2023,447,-46.488634,2.20E-01,-7.591164,3.08E-02,-4.25E+00,3.53E-02,,,
463,Doolittle,3/11/2023,8:29:00 AM,1,"TN, JB, CL",Stream,,,12/1/2023,463,-49.206395,3.20E-01,-8.404689,5.65E-02,-4.60E+00,4.44E-02,,,
485,Doolittle,4/22/2023,9:01:00 AM,1,"TN, JB, CDG",Stream,,,12/4/2023,485,-52.643893,2.74E-01,-8.659836,7.08E-02,-4.497597,1.11E-01,1 svol,,
508,Doolittle,5/21/2023,8:38:00 AM,1,"TN, NO",Stream,,,2/1/2024,508,-44.853258,3.94E-01,-8.014875,5.43E-02,-4.404352,6.39E-02,,,
521,Doolittle,6/14/2023,9:54:00 AM,1,"TN, ACM, CDG",Stream,,,2/6/2024,521,-48.769958,2.81E-01,-8.121151,4.00E-02,-3.92155,1.99E-02,1 fvol,,
555,Doolittle,7/28/2023,11:36:00 AM,1,"TN, S",Stream,,,2/7/2024,555,-42.208748,7.32E-01,-6.64891,8.32E-02,-3.404964,2.95E-02,,,
568,Doolittle,8/29/2023,11:02:00 AM,1,"TN, S",Stream,,,2/7/2024,568,-44.979719,2.02E-01,-7.010402,7.00E-02,-3.469534,3.39E-02,,,
581,Doolittle,9/22/2023,9:32:00 AM,1,"TN, TH",Stream,,,2/8/2024,581,-40.932405,2.78E-01,-7.349598,3.97E-02,-3.743056,2.67E-02,,,
643,Doolittle,10/21/2023,10:11:00 AM,1,"TN, BD",Stream,,,2/15/2024,643,-44.68266,6.01E-01,-7.438164,4.28E-02,-6.025112,4.76E-02,,,
656,Doolittle,11/19/2023,9:36:00 AM,1,"TN, RV",Stream,,,2/15/2024,656,-42.831811,6.02E-01,-7.409837,9.91E-02,-6.018552,5.53E-02,,,
669,Doolittle,12/6/2023,9:00:00 AM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,669,-45.147351,3.12E-01,-6.828153,4.99E-02,-4.970911,4.16E-02,,,
682,Doolittle,1/26/2024,8:55:00 AM,1,"TN, TH, RV, BD",Stream,,,2/20/2024,682,-55.882691,8.17E-01,-8.45028,7.83E-02,-5.100932,5.03E-02,4 2Hck,,
770,Doolittle,2/24/2024,8:51:00 AM,1,"TN, TH, BD",Stream,,,3/5/2024,770,-73.368115,0.00E+00,-8.892445,0.00E+00,-4.969266,0.00E+00,3 fvol,,
818,Doolittle,3/16/2024,9:45:00 AM,1,"TN, RV, ZW, RC",Stream,,,4/25/2024,818,-56.838121,6.81E-01,-8.36214,1.02E-01,-4.885397,2.93E-02,,,
831,Doolittle,4/21/2024,9:28:00 AM,1,"TN, BD, RV, ZW",Stream,,,4/30/2024,831,-57.540808,3.73E-01,-8.681126,6.40E-02,-4.626381,5.01E-02,,,
851,Doolittle,5/4/2024,9:31:00 AM,1,"BD, TN, RV, TH",Stream,,,5/7/2024,851,-62.403158,2.38E-01,-8.924448,1.07E-01,-4.331225,4.91E-02,,,
932,Doolittle,6/4/2024,9:55:00 AM,1,"RV, RC, TN, ZW",Stream,collected immediately,,7/1/2024,932,-51.633928,2.94E-01,-7.900081,1.01E-01,-4.118742,5.41E-02,,,
